"date";"Sample";"Flavour";"Type";"Ox";"Pulse";"Cond";"RedOx";"DryRest";"FlowOut";"pH";"D400";"D440";"D490";"D540";"Mass"
20/10/2019;"хіт продукт цейлонський дрібний";"Н";"Ч";0,3735;0,2042;0,4172;0,4158;0,4841;0,2248;0,7321;0,6818;0,1834;0,5183;0,6304;0,9941
20/10/2019;"hillway";"Н";"З";0,8264;0,7718;0,2944;0,0000;0,6582;0,6690;0,9037;0,4230;0,1097;0,3697;0,3700;0,9355
20/10/2019;"qualitea";"Н";"Ч";0,5381;0,4054;0,2962;0,4131;0,6749;0,1215;0,6418;0,9471;0,9170;0,8792;0,8796;0,9658
20/10/2019;"французький новорічний крутий";"A";"Ч";0,1859;0,3238;0,4112;0,3499;0,4434;0,5318;0,7519;0,6403;0,1962;0,6107;0,6875;0,9926
20/10/2019;"Jacobs Classic (90 arabica, 10 robusta)";"K";"K";0,2964;0,5688;0,3876;0,3024;0,4601;0,2937;0,8353;0,5884;0,1766;0,5826;0,6544;0,9140
20/10/2019;"Guatemala Huehuetenango pure Arabica";"K";"K";0,2625;0,3404;0,3840;0,3911;0,4512;0,5444;0,7781;0,5591;0,1605;0,5463;0,7103;0,9439
20/10/2019;"холоста";"H2O";"H2O";0,0384;0,2354;0,9528;0,9183;0,0000;0,7590;0,7867;0,0000;0,0000;0,0000;0,0000;0,9800
20/10/2019;"чай ""Ромашка""";"Н";"Трав'яний";0,0995;0,7709;0,2340;0,3867;0,2812;0,2724;0,9323;0,2362;0,0546;0,1542;0,1972;0,8175
16/10/2019;"Greenfield honey Linden";"A";"Ч";0,0000;0,4111;0,3756;0,5790;0,5639;0,9460;0,7003;0,6353;0,1952;0,5434;0,5292;0,9530
17/10/2019;"alokozay lemon";"A";"Ч";0,0000;0,3326;0,3332;0,5778;0,6213;0,4947;0,6516;0,7659;0,2527;0,7225;0,8384;0,9424
18/10/2019;"Alokozay green tea";"Н";"З";0,0000;0,4745;0,3619;0,2543;0,7477;0,6357;0,8916;0,3449;0,0842;0,2845;0,3493;0,9211
19/10/2019;"Greenfield Flying Dragon";"Н";"З";0,0000;0,6571;0,2571;0,3141;0,8986;0,7247;0,9193;0,4696;0,1230;0,3595;0,4347;0,9063
;"Feel green";"Н";"З";0,6271;0,1258;0,2779;0,6451;0,5210;0,3774;0,7615;0,3542;0,1000;0,2912;0,3087;0,9197
;"Monomax";"Н";"З";0,6429;0,3604;0,3490;0,0931;0,9043;0,3076;0,9535;0,3915;0,1007;0,3079;0,3850;0,9203
;"Lipton";"Н";"Ч";0,1244;0,2731;0,2046;0,1709;0,4494;0,3097;0,6140;0,8058;0,2283;0,6617;0,6504;0,9798
;"Ahmad";"Н";"З";0,4907;0,2322;0,3491;0,3284;0,5540;0,4800;0,8761;0,3378;0,0810;0,2410;0,2191;0,9277
;"Холоста";"H2O";"H2O";0,0000;0,0000;0,9917;0,8735;0,0000;0,5054;0,8100;0,0000;0,0000;0,0000;0,0000;0,9693
;"CURTIS (MANGO)";"A";"З";0,9002;0,6413;0,3153;0,1252;0,4473;0,2371;0,7813;0,2471;0,0699;0,2269;0,2056;0,9326
;"CURTIS(EARL GREY PASSION)";"A";"Ч";0,7710;0,9374;0,1936;0,6137;0,3869;0,1589;0,5898;0,7303;0,2417;0,7032;0,7575;0,9054
;"TESS(індійський чорний)";"A";"Ч";0,4290;0,8532;0,1811;0,2116;0,4360;0,0000;0,5842;0,6902;0,2115;0,6464;0,6411;0,9170
;"TESS(китайський зелений)";"A";"З";0,5255;0,1553;0,2980;0,1395;0,4749;0,3733;0,8257;0,3150;0,0803;0,2578;0,2694;0,9784
;"холоста";"H2O";"H2O";0,1313;0,0000;0,9180;0,9124;0,0000;0,6574;0,8235;0,0000;0,0000;0,0000;0,0000;0,0000
;"Tess (заварний)";"Н";"З";0,4770;0,4223;0,5404;0,1182;0,5518;0,5069;0,8286;0,2305;0,0819;0,2564;0,2880;0,9471
;"Heladiv";"A";"З";0,7068;0,4426;0,2592;0,1263;0,5461;0,5802;0,8045;0,4601;0,1372;0,4181;0,5217;0,9829
;"Greenfield (заварний) ";"A";"Ч";0,4963;0,5138;0,1024;0,3791;0,7286;0,2571;0,5908;0,7956;0,2608;0,7168;0,8332;0,9016
;"холоста";"H2O";"H2O";0,0005;0,3386;0,9402;0,6369;0,0000;0,7272;0,8018;0,0000;0,0000;0,0000;0,0000;0,0000
;"Richard";"Н";"Ч";0,4381;0,4545;0,2375;0,4483;0,5245;0,4218;0,6524;0,7121;0,2125;0,6078;0,6855;0,9969
;"Принцеса нурі";"Н";"Ч";0,3981;0,4116;0,1885;0,5362;0,4703;0,3379;0,6437;0,7988;0,2530;0,7114;0,6767;0,9209
;"Curtis truffle";"A";"Ч";0,4474;0,5115;0,2359;0,4939;0,4560;0,2785;0,5977;0,7604;0,2307;0,7504;0,7934;0,9080
;"Tess  sunrise";"A";"Ч";0,5539;0,3454;0,1060;0,4400;0,6199;0,3305;0,5292;0,9902;0,3050;0,9422;0,9393;0,9154
;"Greenfield Golden ceylon";"Н";"Ч";0,4502;0,4901;0,2623;0,3596;0,5247;0,5308;0,6326;0,8795;0,2682;0,7878;0,8087;0,9581
;"Greenfield Green Melissa";"A";"З";0,4682;0,4872;0,3258;0,0605;0,6416;0,4507;0,9330;0,3787;0,1039;0,3165;0,3845;0,9398
;"Холоста";"H2O";"H2O";0,0231;0,2387;0,9406;0,9434;0,0000;0,8248;0,7553;0,0000;0,0000;0,0000;0,0000;0,0000
;"чай чорний базовий купажований дрібний";"Н";"Ч";0,4260;0,1352;0,4336;0,3905;0,8141;0,1352;0,6971;0,5961;0,1615;0,4893;0,5202;0,9121
;"хіт продукт цейлонський дрібний";"Н";"Ч";0,3795;0,1979;0,4009;0,3928;0,4570;0,2282;0,6918;0,6609;0,1783;0,5513;0,6194;0,9946
;"hillway";"Н";"З";0,7897;0,7434;0,3068;0,0000;0,7253;0,6715;0,8528;0,4406;0,1184;0,3656;0,3890;0,9881
;"qualitea";"Н";"Ч";0,5629;0,4354;0,3048;0,4245;0,6422;0,1153;0,6647;0,8872;0,9828;0,8630;0,8739;0,9696
;"французький новорічний крутий";"A";"Ч";0,1941;0,3112;0,4148;0,3398;0,4374;0,5537;0,7759;0,6462;0,1905;0,5703;0,6698;0,9444
;"Jacobs Classic (90 arabica, 10 robusta)";"K";"K";0,2877;0,6069;0,4089;0,3231;0,4588;0,2746;0,8791;0,6138;0,1781;0,5504;0,6825;0,9313
;"Guatemala Huehuetenango pure Arabica";"K";"K";0,2412;0,3290;0,3673;0,3899;0,4305;0,5451;0,8049;0,5261;0,1669;0,5378;0,6804;0,9119
;"холоста";"H2O";"H2O";0,0388;0,2426;0,9071;0,9378;0,0000;0,7915;0,8305;0,0000;0,0000;0,0000;0,0000;0,9317
;"чай ""Ромашка""";"Н";"Трав'яний";0,0519;0,7349;0,2147;0,3880;0,2911;0,2935;0,9094;0,2440;0,0540;0,1539;0,1971;0,7944
;"Greenfield honey Linden";"A";"Ч";0,0000;0,4021;0,3699;0,6061;0,5431;0,9879;0,6836;0,6142;0,1884;0,5624;0,5585;0,9522
;"alokozay lemon";"A";"Ч";0,0000;0,3529;0,3477;0,5864;0,5722;0,5361;0,6666;0,8329;0,2523;0,7073;0,8079;0,9629
;"Alokozay green tea";"Н";"З";0,0000;0,4578;0,3773;0,2506;0,7348;0,6693;0,8856;0,3190;0,0866;0,2717;0,3740;0,9267
;"Greenfield Flying Dragon";"Н";"З";0,0000;0,6463;0,2652;0,3248;0,8707;0,6729;0,9180;0,4665;0,1157;0,3704;0,4655;0,9050
